Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage	Entry	ambig	gene_names_ordered_locus	gene_names_primary	Gene names  (synonym )	Protein names	Function [CC]	Catalytic activity	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology (biological process)	Gene ontology (cellular component)	Subcellular location [CC]	Pathway	Cofactor	Subunit structure [CC]	EC number	Length	Activity regulation	Kinetics	Miscellaneous [CC]	Status	Protein existence	Proteomes	Sign
p_1002	highco2_4	0.08931443724244602	0.32443086385418235	0.27529574770231785	9	0.7893049691028262	0.8846416324232989	NA	0.04166666666666663	0.041666666666666664	P72900	no	NA	rfbU	NA	Mannosyltransferase B	NA	NA	glycosyltransferase activity [GO:0016757]; lipopolysaccharide biosynthetic process [GO:0009103]	glycosyltransferase activity [GO:0016757]	lipopolysaccharide biosynthetic process [GO:0009103]	NA	NA	NA	NA	NA	NA	367	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1002	highco2_8	0.6765493887453079	0.3244308638541824	2.085342253532905	9	0.06668512932664417	0.16901484009344686	NA	0	0	P72900	no	NA	rfbU	NA	Mannosyltransferase B	NA	NA	glycosyltransferase activity [GO:0016757]; lipopolysaccharide biosynthetic process [GO:0009103]	glycosyltransferase activity [GO:0016757]	lipopolysaccharide biosynthetic process [GO:0009103]	NA	NA	NA	NA	NA	NA	367	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1003	highco2_4	-2.0207993746439454	1.2207903255639578	-1.6553206003745273	9	0.1322436187954943	0.2962029937072877	NA	0	0	P72901	no	slr1065	NA	NA	Slr1065 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	356	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1003	highco2_8	-2.328437945120231	1.220790325563958	-1.9073201157984132	9	0.08884177576988517	0.20321362999079257	NA	0	0	P72901	no	slr1065	NA	NA	Slr1065 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	356	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1004	highco2_4	-0.4531889933912109	0.23501817981393872	-1.928314625489805	9	0.08590428215835022	0.22560299343527898	NA	0.0625	0.0625	P72902	no	slr1066	NA	NA	Slr1066 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	401	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1004	highco2_8	-0.5031084752444537	0.23501817981393877	-2.1407215205341092	9	0.060949685286646016	0.15953233584149387	NA	0	0	P72902	no	slr1066	NA	NA	Slr1066 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	401	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1005	highco2_4	-0.06884207802645344	0.18797793791332598	-0.3662242430715224	9	0.7226587448532373	0.8444025506816446	NA	0.16666666666666663	0.16666666666666666	P72903	no	NA	galE	NA	UDP-glucose 4-epimerase (EC 5.1.3.2)	NA	CATALYTIC ACTIVITY: Reaction=UDP-alpha-D-glucose = UDP-alpha-D-galactose; Xref=Rhea:RHEA:22168, ChEBI:CHEBI:58885, ChEBI:CHEBI:66914; EC=5.1.3.2; Evidence={ECO:0000256|ARBA:ARBA00000083, ECO:0000256|RuleBase:RU366046};	UDP-glucose 4-epimerase activity [GO:0003978]; galactose metabolic process [GO:0006012]	UDP-glucose 4-epimerase activity [GO:0003978]	galactose metabolic process [GO:0006012]	NA	NA	PATHWAY: Carbohydrate metabolism; galactose metabolism. {ECO:0000256|ARBA:ARBA00004947, ECO:0000256|RuleBase:RU366046}.	COFACTOR: Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000256|ARBA:ARBA00001911, ECO:0000256|RuleBase:RU366046};	SUBUNIT: Homodimer. {ECO:0000256|RuleBase:RU366046}.	5.1.3.2	340	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1005	highco2_8	-0.026915249304036337	0.187977937913326	-0.14318302244833955	9	0.8893001274965204	0.9289779217398181	NA	0.20833333333333337	0.20833333333333334	P72903	no	NA	galE	NA	UDP-glucose 4-epimerase (EC 5.1.3.2)	NA	CATALYTIC ACTIVITY: Reaction=UDP-alpha-D-glucose = UDP-alpha-D-galactose; Xref=Rhea:RHEA:22168, ChEBI:CHEBI:58885, ChEBI:CHEBI:66914; EC=5.1.3.2; Evidence={ECO:0000256|ARBA:ARBA00000083, ECO:0000256|RuleBase:RU366046};	UDP-glucose 4-epimerase activity [GO:0003978]; galactose metabolic process [GO:0006012]	UDP-glucose 4-epimerase activity [GO:0003978]	galactose metabolic process [GO:0006012]	NA	NA	PATHWAY: Carbohydrate metabolism; galactose metabolism. {ECO:0000256|ARBA:ARBA00004947, ECO:0000256|RuleBase:RU366046}.	COFACTOR: Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000256|ARBA:ARBA00001911, ECO:0000256|RuleBase:RU366046};	SUBUNIT: Homodimer. {ECO:0000256|RuleBase:RU366046}.	5.1.3.2	340	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1006	highco2_4	-2.0982172868127784	0.8984552829388589	-2.3353608428340276	8	0.04776032103642747	0.15803262190035022	NA	0.375	0.25	P72907	no	slr1071	NA	NA	Slr1071 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	268	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1006	highco2_8	-0.6380166712365235	0.8318079596916303	-0.7670240033204905	8	0.46509872763838533	0.6207079673687002	NA	0.3125	0.3125	P72907	no	slr1071	NA	NA	Slr1071 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	268	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1007	highco2_4	-1.0175523101381398	0.6091498502211946	-1.670446622893605	5	0.1556972758115478	0.3274333380526622	NA	0.125	0	P72908	no	NA	yefA	NA	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	NA	CATALYTIC ACTIVITY: Reaction=GDP-alpha-D-mannose = GDP-4-dehydro-alpha-D-rhamnose + H2O; Xref=Rhea:RHEA:23820, ChEBI:CHEBI:15377, ChEBI:CHEBI:57527, ChEBI:CHEBI:57964; EC=4.2.1.47; Evidence={ECO:0000256|ARBA:ARBA00000188};	cytoplasm [GO:0005737]; GDP-mannose 4,6-dehydratase activity [GO:0008446]; 'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-mannose metabolic process [GO:0019673]	GDP-mannose 4,6-dehydratase activity [GO:0008446]	'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-mannose metabolic process [GO:0019673]	cytoplasm [GO:0005737]	NA	NA	COFACTOR: Name=NADP(+); Xref=ChEBI:CHEBI:58349; Evidence={ECO:0000256|ARBA:ARBA00001937};	NA	4.2.1.47	320	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1007	highco2_8	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.5	0	P72908	no	NA	yefA	NA	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	NA	CATALYTIC ACTIVITY: Reaction=GDP-alpha-D-mannose = GDP-4-dehydro-alpha-D-rhamnose + H2O; Xref=Rhea:RHEA:23820, ChEBI:CHEBI:15377, ChEBI:CHEBI:57527, ChEBI:CHEBI:57964; EC=4.2.1.47; Evidence={ECO:0000256|ARBA:ARBA00000188};	cytoplasm [GO:0005737]; GDP-mannose 4,6-dehydratase activity [GO:0008446]; 'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-mannose metabolic process [GO:0019673]	GDP-mannose 4,6-dehydratase activity [GO:0008446]	'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-mannose metabolic process [GO:0019673]	cytoplasm [GO:0005737]	NA	NA	COFACTOR: Name=NADP(+); Xref=ChEBI:CHEBI:58349; Evidence={ECO:0000256|ARBA:ARBA00001937};	NA	4.2.1.47	320	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Sign
p_1008	highco2_4	0.26942772282820365	0.8303392685487322	0.3244790810617806	8	0.7538971802505605	0.8657507522192783	NA	0.125	0	P72909	no	slr1073	NA	NA	Slr1073 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	384	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1008	highco2_8	0.048305923358113095	0.7687447844528547	0.062837399791264	8	0.9514376285804078	0.9708179308205583	NA	0	0	P72909	no	slr1073	NA	NA	Slr1073 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	384	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1009	highco2_4	-1.040328869200074	0.3563520161788115	-2.919385388514413	9	0.017048860395134646	0.07833150094394768	NA	0.07499999999999996	0.075	P72911	no	slr1076	NA	NA	Slr1076 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	381	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1009	highco2_8	-0.9693703230891816	0.35635201617881157	-2.720260526329582	9	0.02359774787706148	0.08703689884792883	NA	0	0	P72911	no	slr1076	NA	NA	Slr1076 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	381	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_101	highco2_4	1.1310260950564262	0.45436967596553807	2.4892200225576	9	0.03446608798926576	0.12577506645661232	NA	0.0535714285714286	0.05357142857142857	P52986	no	sll0455	hom	NA	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)	NA	CATALYTIC ACTIVITY: Reaction=L-homoserine + NADP(+) = H(+) + L-aspartate 4-semialdehyde + NADPH; Xref=Rhea:RHEA:15761, ChEBI:CHEBI:15378, ChEBI:CHEBI:57476, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:537519; EC=1.1.1.3; CATALYTIC ACTIVITY: Reaction=L-homoserine + NAD(+) = H(+) + L-aspartate 4-semialdehyde + NADH; Xref=Rhea:RHEA:15757, ChEBI:CHEBI:15378, ChEBI:CHEBI:57476, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:537519; EC=1.1.1.3;	homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]	isoleucine biosynthetic process [GO:0009097]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	NA	NA	PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 3/3.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 3/5.	NA	NA	1.1.1.3	433	NA	NA	NA	reviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_101	highco2_8	0.4089350498924738	0.4543696759655382	0.9000051533445415	9	0.3915627176324683	0.5578214905954608	NA	0.1428571428571429	0.14285714285714285	P52986	no	sll0455	hom	NA	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)	NA	CATALYTIC ACTIVITY: Reaction=L-homoserine + NADP(+) = H(+) + L-aspartate 4-semialdehyde + NADPH; Xref=Rhea:RHEA:15761, ChEBI:CHEBI:15378, ChEBI:CHEBI:57476, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:537519; EC=1.1.1.3; CATALYTIC ACTIVITY: Reaction=L-homoserine + NAD(+) = H(+) + L-aspartate 4-semialdehyde + NADH; Xref=Rhea:RHEA:15757, ChEBI:CHEBI:15378, ChEBI:CHEBI:57476, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:537519; EC=1.1.1.3;	homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]	isoleucine biosynthetic process [GO:0009097]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	NA	NA	PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 3/3.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 3/5.	NA	NA	1.1.1.3	433	NA	NA	NA	reviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1010	highco2_4	-0.23036963323288062	0.5121565364249053	-0.44980316924385955	8	0.6647900996178588	0.8036796180284662	NA	0.125	0	P72912	no	slr1077	NA	NA	Slr1077 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	386	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1010	highco2_8	-0.5436180250893144	0.47416481565207025	-1.146474827200606	8	0.2847306851041109	0.447998462903035	NA	0	0	P72912	no	slr1077	NA	NA	Slr1077 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	386	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1011	highco2_4	0.646963515202321	0.39747134898761083	1.6276984916024395	9	0.1380308757553761	0.30417394616561494	NA	0	0	P72917	no	ssr1768	NA	NA	Ssr1768 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1011	highco2_8	0.5239166391349388	0.3974713489876109	1.3181242886295919	9	0.22002209150549334	0.37944562458193165	NA	0	0	P72917	no	ssr1768	NA	NA	Ssr1768 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1012	highco2_4	-0.5376452251004309	0.7074895385610135	-0.7599338163981413	8	0.4690946055114311	0.6540726329424851	NA	0.125	0	P72920	no	slr1083	NA	NA	Slr1083 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	181	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1012	highco2_8	-1.8693817394950256	0.6550080351785939	-2.853982911805535	8	0.021347934560985493	0.08138663901657124	NA	0	0	P72920	no	slr1083	NA	NA	Slr1083 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	181	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1013	highco2_4	-0.1643667434290238	0.5841502401010256	-0.28137751582640363	9	0.7847830986179387	0.8831360506548204	NA	0.125	0.125	P72923	no	slr1087	NA	NA	Slr1087 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	361	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1013	highco2_8	-0.35128779101671226	0.5841502401010257	-0.6013654825442833	9	0.5624354490564039	0.7014973695816409	NA	0.04166666666666663	0.041666666666666664	P72923	no	slr1087	NA	NA	Slr1087 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	361	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1014	highco2_4	0.6075419619535033	0.5094287753696184	1.1925945123784938	9	0.2635211638328121	0.45951635659484724	NA	0.3125	0.3125	P72924	no	sll1025	NA	NA	Sll1025 protein	NA	NA	cytoplasm [GO:0005737]; oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	NA	cytoplasm [GO:0005737]	NA	NA	NA	NA	NA	392	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1014	highco2_8	0.6298090544904346	0.5094287753696185	1.2363044353618886	9	0.24763681935274118	0.41445975826402837	NA	0.3125	0.3125	P72924	no	sll1025	NA	NA	Sll1025 protein	NA	NA	cytoplasm [GO:0005737]; oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	NA	cytoplasm [GO:0005737]	NA	NA	NA	NA	NA	392	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1015	highco2_4	-0.3879345623680231	0.17552769018184383	-2.2101046391377293	9	0.05443594715658251	0.1719699118932037	NA	0.09375	0.09375	P72927	no	NA	sucC	NA	Succinate--CoA ligase	NA	NA	cytosol [GO:0005829]; succinate-CoA ligase complex [GO:0042709]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]	succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]	cytosol [GO:0005829]; succinate-CoA ligase complex [GO:0042709]	NA	NA	NA	NA	NA	401	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1015	highco2_8	-0.46259150721699377	0.1755276901818439	-2.6354332284425115	9	0.027116030604895425	0.0957507047917127	NA	0.078125	0.078125	P72927	no	NA	sucC	NA	Succinate--CoA ligase	NA	NA	cytosol [GO:0005829]; succinate-CoA ligase complex [GO:0042709]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]	succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]	cytosol [GO:0005829]; succinate-CoA ligase complex [GO:0042709]	NA	NA	NA	NA	NA	401	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1016	highco2_4	-0.6950262821562138	0.2585501180860423	-2.688168496310327	9	0.024871019856921972	0.10141022599944322	NA	0	0	P72930	no	sll1020	NA	NA	Sll1020 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	294	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1016	highco2_8	-0.6771356162107324	0.25855011808604234	-2.618972372642235	9	0.027857841853601517	0.09741199894911959	NA	0	0	P72930	no	sll1020	NA	NA	Sll1020 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	294	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
