Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage	Entry	ambig	gene_names_ordered_locus	gene_names_primary	Gene names  (synonym )	Protein names	Function [CC]	Catalytic activity	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology (biological process)	Gene ontology (cellular component)	Subcellular location [CC]	Pathway	Cofactor	Subunit structure [CC]	EC number	Length	Activity regulation	Kinetics	Miscellaneous [CC]	Status	Protein existence	Proteomes	Sign
p_1002	lowco2_4	1.2164071149258895	0.4710698907818399	2.5822221685767373	9	0.029588568221442957	0.08743679481854483	NA	0.03125	0.03125	P72894	no	slr1616	NA	NA	Slr1616 protein	NA	NA	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; metal ion binding [GO:0046872]; ribosomal S6-glutamic acid ligase activity [GO:0018169]; C-terminal protein amino acid modification [GO:0018410]; SOS response [GO:0009432]	ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; metal ion binding [GO:0046872]; ribosomal S6-glutamic acid ligase activity [GO:0018169]	C-terminal protein amino acid modification [GO:0018410]; SOS response [GO:0009432]	cytoplasm [GO:0005737]	NA	NA	NA	NA	NA	341	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1002	lowco2_8	0.7460337062771738	0.47106989078184003	1.5837006798268791	9	0.14772205042140985	0.420157088436811	NA	0	0	P72894	no	slr1616	NA	NA	Slr1616 protein	NA	NA	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; metal ion binding [GO:0046872]; ribosomal S6-glutamic acid ligase activity [GO:0018169]; C-terminal protein amino acid modification [GO:0018410]; SOS response [GO:0009432]	ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; metal ion binding [GO:0046872]; ribosomal S6-glutamic acid ligase activity [GO:0018169]	C-terminal protein amino acid modification [GO:0018410]; SOS response [GO:0009432]	cytoplasm [GO:0005737]	NA	NA	NA	NA	NA	341	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1003	lowco2_4	0.6851545856783863	0.4052824653313199	1.690560644212105	9	0.1251803038417263	0.2350973951974877	NA	0.13888888888888884	0.1388888888888889	P72895	no	slr1617	NA	NA	Slr1617 protein	NA	NA	L-threonine 3-dehydrogenase activity [GO:0008743]; threonine catabolic process [GO:0006567]	L-threonine 3-dehydrogenase activity [GO:0008743]	threonine catabolic process [GO:0006567]	NA	NA	NA	NA	NA	NA	411	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1003	lowco2_8	0.46639279673681233	0.40528246533131995	1.1507845432087334	9	0.2794769903060019	0.560252829557431	NA	0.1527777777777778	0.1527777777777778	P72895	no	slr1617	NA	NA	Slr1617 protein	NA	NA	L-threonine 3-dehydrogenase activity [GO:0008743]; threonine catabolic process [GO:0006567]	L-threonine 3-dehydrogenase activity [GO:0008743]	threonine catabolic process [GO:0006567]	NA	NA	NA	NA	NA	NA	411	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1004	lowco2_4	-0.5361385878858318	0.2059283755842462	-2.603519725558633	9	0.028572809828066648	0.08560647342034855	NA	0.1428571428571429	0.14285714285714285	P72896	no	slr1618	NA	NA	Slr1618 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	261	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1004	lowco2_8	-0.19775734449147023	0.20592837558424623	-0.9603210044774368	9	0.3619813614318761	0.6224947623423853	NA	0.0892857142857143	0.08928571428571429	P72896	no	slr1618	NA	NA	Slr1618 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	261	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1005	lowco2_4	0.23449441386040948	0.2525114152555832	0.9286487647422295	9	0.3773049942332247	0.5155137157966395	NA	0	0	P72897	no	slr1619	NA	NA	Rhamnosyl O-methyltransferase	FUNCTION: Catalyzes the O-methylation of the hydroxyl group located on C-2 of the first rhamnosyl residue linked to the phenolic group of glycosylated phenolphthiocerol dimycocerosates (PGL) and p-hydroxybenzoic acid derivatives (p-HBAD). {ECO:0000256|ARBA:ARBA00003116}.	NA	methyltransferase activity [GO:0008168]; chondroitin sulfate biosynthetic process [GO:0030206]; DIM/DIP cell wall layer assembly [GO:0071770]; lipid biosynthetic process [GO:0008610]	methyltransferase activity [GO:0008168]	chondroitin sulfate biosynthetic process [GO:0030206]; DIM/DIP cell wall layer assembly [GO:0071770]; lipid biosynthetic process [GO:0008610]	NA	NA	NA	NA	NA	NA	249	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1005	lowco2_8	0.21213507023841752	0.25251141525558324	0.8401009119674918	9	0.4226073490144491	0.6698218595247248	NA	0	0	P72897	no	slr1619	NA	NA	Rhamnosyl O-methyltransferase	FUNCTION: Catalyzes the O-methylation of the hydroxyl group located on C-2 of the first rhamnosyl residue linked to the phenolic group of glycosylated phenolphthiocerol dimycocerosates (PGL) and p-hydroxybenzoic acid derivatives (p-HBAD). {ECO:0000256|ARBA:ARBA00003116}.	NA	methyltransferase activity [GO:0008168]; chondroitin sulfate biosynthetic process [GO:0030206]; DIM/DIP cell wall layer assembly [GO:0071770]; lipid biosynthetic process [GO:0008610]	methyltransferase activity [GO:0008168]	chondroitin sulfate biosynthetic process [GO:0030206]; DIM/DIP cell wall layer assembly [GO:0071770]; lipid biosynthetic process [GO:0008610]	NA	NA	NA	NA	NA	NA	249	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1006	lowco2_4	0.5191861295566085	0.20780234032336586	2.498461416501332	9	0.033947419646821686	0.09613945167175295	NA	0	0	P72899	no	slr1063	NA	NA	Slr1063 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	689	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1006	lowco2_8	0.327527742126792	0.2078023403233659	1.57615040146862	9	0.1494451598406994	0.42304654105817485	NA	0	0	P72899	no	slr1063	NA	NA	Slr1063 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	689	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1007	lowco2_4	1.4920374287575253	0.5778382673689146	2.5821021434791027	9	0.02959439432745259	0.08743679481854483	NA	0	0	P72900	no	NA	rfbU	NA	Mannosyltransferase B	NA	NA	glycosyltransferase activity [GO:0016757]; lipopolysaccharide biosynthetic process [GO:0009103]	glycosyltransferase activity [GO:0016757]	lipopolysaccharide biosynthetic process [GO:0009103]	NA	NA	NA	NA	NA	NA	367	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1007	lowco2_8	0.51058764031548165	0.5778382673689147	0.8836168685060493	9	0.39989093496718864	0.6502425252962046	NA	0	0	P72900	no	NA	rfbU	NA	Mannosyltransferase B	NA	NA	glycosyltransferase activity [GO:0016757]; lipopolysaccharide biosynthetic process [GO:0009103]	glycosyltransferase activity [GO:0016757]	lipopolysaccharide biosynthetic process [GO:0009103]	NA	NA	NA	NA	NA	NA	367	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1008	lowco2_4	0.38592743232519366	1.2803627917754539	0.30142037460338544	9	0.7699421399003312	0.8423332251030196	NA	0	0	P72901	no	slr1065	NA	NA	Slr1065 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	356	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1008	lowco2_8	1.5309180495607813	1.2803627917754543	1.1956908302824756	9	0.26236936870456873	0.5430228041227758	NA	0	0	P72901	no	slr1065	NA	NA	Slr1065 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	356	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1009	lowco2_4	0.8727961948426703	0.4015640130366546	2.1734920623053986	9	0.057783888477906054	0.1359821951420734	NA	0	0	P72902	no	slr1066	NA	NA	Slr1066 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	401	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1009	lowco2_8	0.4437190490857066	0.4015640130366547	1.1049771261380537	9	0.2978325531795476	0.5737501223928696	NA	0	0	P72902	no	slr1066	NA	NA	Slr1066 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	401	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_101	lowco2_4	0.8737484631531046	0.4747431757996362	1.8404655563113714	9	0.09883843654918012	0.19832529770552448	NA	0.0892857142857143	0.08928571428571429	P52986	no	sll0455	hom	NA	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)	NA	CATALYTIC ACTIVITY: Reaction=L-homoserine + NADP(+) = H(+) + L-aspartate 4-semialdehyde + NADPH; Xref=Rhea:RHEA:15761, ChEBI:CHEBI:15378, ChEBI:CHEBI:57476, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:537519; EC=1.1.1.3; CATALYTIC ACTIVITY: Reaction=L-homoserine + NAD(+) = H(+) + L-aspartate 4-semialdehyde + NADH; Xref=Rhea:RHEA:15757, ChEBI:CHEBI:15378, ChEBI:CHEBI:57476, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:537519; EC=1.1.1.3;	homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]	isoleucine biosynthetic process [GO:0009097]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	NA	NA	PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 3/3.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 3/5.	NA	NA	1.1.1.3	433	NA	NA	NA	reviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_101	lowco2_8	0.29863890242859237	0.4747431757996363	0.6290535970855785	9	0.5449476091506888	0.7602381199600546	NA	0.017857142857142905	0.017857142857142856	P52986	no	sll0455	hom	NA	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)	NA	CATALYTIC ACTIVITY: Reaction=L-homoserine + NADP(+) = H(+) + L-aspartate 4-semialdehyde + NADPH; Xref=Rhea:RHEA:15761, ChEBI:CHEBI:15378, ChEBI:CHEBI:57476, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:537519; EC=1.1.1.3; CATALYTIC ACTIVITY: Reaction=L-homoserine + NAD(+) = H(+) + L-aspartate 4-semialdehyde + NADH; Xref=Rhea:RHEA:15757, ChEBI:CHEBI:15378, ChEBI:CHEBI:57476, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:537519; EC=1.1.1.3;	homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]	isoleucine biosynthetic process [GO:0009097]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	NA	NA	PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 3/3.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 3/5.	NA	NA	1.1.1.3	433	NA	NA	NA	reviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1010	lowco2_4	1.2739374704082078	0.5089906696942055	2.5028699861503783	9	0.033702745112955235	0.09557295004879093	NA	0.1964285714285714	0.19642857142857142	P72903	no	NA	galE	NA	UDP-glucose 4-epimerase (EC 5.1.3.2)	NA	CATALYTIC ACTIVITY: Reaction=UDP-alpha-D-glucose = UDP-alpha-D-galactose; Xref=Rhea:RHEA:22168, ChEBI:CHEBI:58885, ChEBI:CHEBI:66914; EC=5.1.3.2; Evidence={ECO:0000256|ARBA:ARBA00000083, ECO:0000256|RuleBase:RU366046};	UDP-glucose 4-epimerase activity [GO:0003978]; galactose metabolic process [GO:0006012]	UDP-glucose 4-epimerase activity [GO:0003978]	galactose metabolic process [GO:0006012]	NA	NA	PATHWAY: Carbohydrate metabolism; galactose metabolism. {ECO:0000256|ARBA:ARBA00004947, ECO:0000256|RuleBase:RU366046}.	COFACTOR: Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000256|ARBA:ARBA00001911, ECO:0000256|RuleBase:RU366046};	SUBUNIT: Homodimer. {ECO:0000256|RuleBase:RU366046}.	5.1.3.2	340	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1010	lowco2_8	0.5415607805803108	0.5089906696942056	1.0639896030032787	9	0.3150460399854047	0.5876352316637635	NA	0.25	0.25	P72903	no	NA	galE	NA	UDP-glucose 4-epimerase (EC 5.1.3.2)	NA	CATALYTIC ACTIVITY: Reaction=UDP-alpha-D-glucose = UDP-alpha-D-galactose; Xref=Rhea:RHEA:22168, ChEBI:CHEBI:58885, ChEBI:CHEBI:66914; EC=5.1.3.2; Evidence={ECO:0000256|ARBA:ARBA00000083, ECO:0000256|RuleBase:RU366046};	UDP-glucose 4-epimerase activity [GO:0003978]; galactose metabolic process [GO:0006012]	UDP-glucose 4-epimerase activity [GO:0003978]	galactose metabolic process [GO:0006012]	NA	NA	PATHWAY: Carbohydrate metabolism; galactose metabolism. {ECO:0000256|ARBA:ARBA00004947, ECO:0000256|RuleBase:RU366046}.	COFACTOR: Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000256|ARBA:ARBA00001911, ECO:0000256|RuleBase:RU366046};	SUBUNIT: Homodimer. {ECO:0000256|RuleBase:RU366046}.	5.1.3.2	340	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1011	lowco2_4	0.20411426070935246	1.1520570848680818	0.177173738515505	8	0.8637754838984892	0.907875950430371	NA	0.5625	0.4375	P72907	no	slr1071	NA	NA	Slr1071 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	268	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1011	lowco2_8	3.287426515551603	1.0665976052562423	3.08216191312545	8	0.015067455155934883	0.19539719832653177	NA	0.25	0.25	P72907	no	slr1071	NA	NA	Slr1071 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	268	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1012	lowco2_4	0.2722936509342244	0.6386379849704855	0.4263662001670765	9	0.6798575169514058	0.7667473265751243	NA	0	0	P72908	no	NA	yefA	NA	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	NA	CATALYTIC ACTIVITY: Reaction=GDP-alpha-D-mannose = GDP-4-dehydro-alpha-D-rhamnose + H2O; Xref=Rhea:RHEA:23820, ChEBI:CHEBI:15377, ChEBI:CHEBI:57527, ChEBI:CHEBI:57964; EC=4.2.1.47; Evidence={ECO:0000256|ARBA:ARBA00000188};	cytoplasm [GO:0005737]; GDP-mannose 4,6-dehydratase activity [GO:0008446]; 'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-mannose metabolic process [GO:0019673]	GDP-mannose 4,6-dehydratase activity [GO:0008446]	'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-mannose metabolic process [GO:0019673]	cytoplasm [GO:0005737]	NA	NA	COFACTOR: Name=NADP(+); Xref=ChEBI:CHEBI:58349; Evidence={ECO:0000256|ARBA:ARBA00001937};	NA	4.2.1.47	320	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1012	lowco2_8	-1.3826712498322717	0.6386379849704856	-2.1650313360176523	9	0.05858560052736461	0.29649370038229067	NA	0	0	P72908	no	NA	yefA	NA	GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	NA	CATALYTIC ACTIVITY: Reaction=GDP-alpha-D-mannose = GDP-4-dehydro-alpha-D-rhamnose + H2O; Xref=Rhea:RHEA:23820, ChEBI:CHEBI:15377, ChEBI:CHEBI:57527, ChEBI:CHEBI:57964; EC=4.2.1.47; Evidence={ECO:0000256|ARBA:ARBA00000188};	cytoplasm [GO:0005737]; GDP-mannose 4,6-dehydratase activity [GO:0008446]; 'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-mannose metabolic process [GO:0019673]	GDP-mannose 4,6-dehydratase activity [GO:0008446]	'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-mannose metabolic process [GO:0019673]	cytoplasm [GO:0005737]	NA	NA	COFACTOR: Name=NADP(+); Xref=ChEBI:CHEBI:58349; Evidence={ECO:0000256|ARBA:ARBA00001937};	NA	4.2.1.47	320	NA	NA	NA	unreviewed	Inferred from homology	UP000001425: Chromosome	Unsign
p_1013	lowco2_4	-0.3807980882016004	0.8904336984209773	-0.42765462367032686	9	0.6789530231293075	0.7662827741274894	NA	0	0	P72909	no	slr1073	NA	NA	Slr1073 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	384	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1013	lowco2_8	0.8786161623161886	0.8904336984209776	0.9867283368478245	9	0.349558680933979	0.6101132639915955	NA	0	0	P72909	no	slr1073	NA	NA	Slr1073 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	384	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1014	lowco2_4	-0.11858619912375609	0.26650401942787455	-0.4449696457799569	9	0.6668507379951314	0.7563918511062703	NA	0	0	P72911	no	slr1076	NA	NA	Slr1076 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	381	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1014	lowco2_8	0.144540225873434	0.2665040194278746	0.5423566450657292	9	0.600742220006599	0.7873418842426657	NA	0	0	P72911	no	slr1076	NA	NA	Slr1076 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	381	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1015	lowco2_4	-0.22362436490616888	0.5434952696237915	-0.41145595445745486	9	0.6903638040007585	0.7738580651128921	NA	0	0	P72912	no	slr1077	NA	NA	Slr1077 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	386	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1015	lowco2_8	-0.07384511543733524	0.5434952696237916	-0.1358707601787426	9	0.8949139606972469	0.9527917866708072	NA	0	0	P72912	no	slr1077	NA	NA	Slr1077 protein	NA	NA	glycosyltransferase activity [GO:0016757]	glycosyltransferase activity [GO:0016757]	NA	NA	NA	NA	NA	NA	NA	386	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
p_1016	lowco2_4	0.33871481694746264	0.39880035201110675	0.8493342978243642	9	0.4177142419121245	0.5496780528173685	NA	0	0	P72917	no	ssr1768	NA	NA	Ssr1768 protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	NA	NA	NA	unreviewed	Predicted	UP000001425: Chromosome	Unsign
